,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
1399,Luigi Benincasa,Minnesota State,F,37,5,17,22,2,1,0,0,56,370,170,9,58,8,25
1400,Brett Moravec,Minnesota State,F,35,5,2,7,1,1,0,1,38,231,111,4,55,16,13
1401,Luke Ashton,Minnesota State,D,36,5,7,12,3,0,0,0,61,1,1,8,56,6,50
1402,Ralfs Bergmanis,Minnesota State,D,34,3,8,11,0,2,0,0,33,4,1,17,51,29,15
1403,Kade Nielsen,Minnesota State,F,4,0,0,0,0,0,0,0,1,0,0,0,8,0,0
1404,Jacob Bonkowski,Minnesota State,F,7,0,0,0,0,0,0,0,3,0,0,1,13,0,2
1405,Cade Alami,Minnesota State,D,6,0,0,0,0,0,0,0,1,0,0,-1,10,4,6
1406,Tyler Haskins,Minnesota State,F,6,0,0,0,0,0,0,0,2,0,0,0,9,0,1
1407,Matthew Syverson,Minnesota State,G,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
1408,Eli Pulver,Minnesota State,G,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0
1409,Blais Richartz,Michigan Tech,F,18,1,1,2,0,0,0,0,16,17,9,-4,48,0,4
1410,Marcus Pedersen,Michigan Tech,F,29,4,4,8,2,0,0,0,36,35,17,-2,77,8,9
1411,Alex Nordstrom,Michigan Tech,F,29,7,2,9,1,0,1,0,53,6,4,1,85,16,8
1412,Matthew Campbell,Michigan Tech,D,34,6,6,12,3,0,0,0,60,1,0,7,87,26,29
1413,Viktor Hurtig,Michigan Tech,D,34,1,4,5,0,0,0,0,28,1,1,-7,88,10,21
1414,Trevor Kukkonen,Michigan Tech,F,34,3,7,10,0,0,0,1,46,4,2,-2,93,6,20
1415,Stiven Sardarian,Michigan Tech,F,35,11,24,35,2,3,0,0,93,8,1,3,92,51,41
1416,Kasper Vaharautio,Michigan Tech,D,36,0,4,4,0,0,0,0,16,0,0,-7,96,2,16
1417,Owen Baker,Michigan Tech,F,33,3,2,5,0,1,0,0,42,49,24,-8,91,2,16
1418,Lauri Raiman,Michigan Tech,F,34,1,4,5,0,0,0,0,41,91,44,1,89,4,19
1419,Max Koskipirtti,Michigan Tech,F,36,7,20,27,2,1,1,1,63,697,336,-2,96,0,17
1420,Isaac Gordon,Michigan Tech,F,36,7,19,26,2,2,0,0,116,15,9,-4,96,8,32
1421,Chase Pietila,Michigan Tech,D,36,7,15,22,3,1,0,0,68,0,0,1,96,52,48
1422,Nick Williams,Michigan Tech,D,34,0,8,8,0,0,0,0,39,1,1,7,94,10,24
1423,Henry Bartle,Michigan Tech,F,21,1,2,3,0,0,0,0,11,13,8,-3,52,8,4
1424,Rylan Brown,Michigan Tech,D,36,3,15,18,2,1,0,0,56,0,0,-2,96,14,40
1425,Logan Morrell,Michigan Tech,F,32,11,10,21,4,4,0,0,71,509,299,5,88,29,13
1426,Elias Jansson,Michigan Tech,F,36,12,11,23,6,2,0,2,82,16,2,0,96,4,17
1427,Philip Fankl,Michigan Tech,F,22,1,0,1,0,0,0,0,23,59,27,-4,65,0,8
1428,Ryan Manzella,Michigan Tech,G,15,0,0,0,0,0,0,0,0,0,0,0,42,0,0
1429,Derek Mullahy,Michigan Tech,G,21,0,0,0,0,0,0,0,0,0,0,0,65,0,0
1430,Jack Works,Michigan Tech,F,31,5,10,15,1,0,0,0,73,142,66,2,77,20,21
1431,Ryder Matter,Michigan Tech,F,19,2,1,3,0,0,0,0,16,176,91,-2,54,4,10
1432,Quinn Disher,Michigan Tech,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1433,Tom Leppa,Michigan Tech,F,16,2,3,5,0,1,0,0,17,218,111,2,36,6,5
1434,Max Vayrynen,Michigan Tech,G,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1435,Jesse Tucker,Northern Michigan,F,34,3,5,8,1,0,0,0,50,625,327,-25,115,26,14
1436,Jakob Peterson,Northern Michigan,D,29,2,4,6,0,0,0,0,28,0,0,-14,99,12,25
1437,Zach Michaelis,Northern Michigan,F,27,1,2,3,0,0,0,0,37,1,1,-13,98,0,10
1438,Ryan Ouellette,Northern Michigan,G,32,0,1,1,0,0,0,0,1,0,0,0,105,0,0
1439,Tanner Latsch,Northern Michigan,F,22,5,2,7,1,0,0,0,64,4,3,-12,77,6,26
1440,Nick Ardanaz,Northern Michigan,D,26,0,3,3,0,0,0,0,36,0,0,-8,85,6,17
1441,Danny Ciccarello,Northern Michigan,F,33,1,4,5,0,0,0,0,33,324,166,-10,111,12,12
1442,Matthew Romer,Northern Michigan,F,22,5,3,8,1,0,0,1,35,11,1,-8,74,4,5
1443,Brendan Poshak,Northern Michigan,F,23,1,1,2,0,0,0,0,24,6,3,-9,81,4,13
1444,Tynan Ewart,Northern Michigan,D,34,1,10,11,0,0,0,0,39,0,0,-23,115,4,27
1445,Wolfgang Govedaris,Northern Michigan,D,30,0,0,0,0,0,0,0,41,1,0,-9,105,20,24
1446,Grayden Daul,Northern Michigan,D,28,0,1,1,0,0,0,0,12,0,0,-5,88,16,10
1447,Rasmus Larsson,Northern Michigan,D,28,3,0,3,0,0,0,0,34,0,0,-9,91,14,17
1448,Billy Renfrew,Northern Michigan,F,31,1,2,3,0,0,0,0,17,366,185,-10,107,2,6
1449,Jakub Altrichter,Northern Michigan,F,32,3,16,19,0,1,0,0,80,532,280,-7,105,4,26
1450,Grayden Slipec,Northern Michigan,F,32,10,9,19,6,2,0,0,84,48,15,-15,107,14,28
1451,Ryan Duguay,Northern Michigan,F,24,6,2,8,3,1,0,0,26,2,1,-9,84,4,13
1452,Anthony Cliche,Northern Michigan,D,34,4,5,9,0,0,0,0,35,0,0,-4,115,14,24
1453,Colby Browne,Northern Michigan,F,19,0,1,1,0,0,0,0,24,8,2,-6,64,6,6
1454,Aidyn Hutchinson,Northern Michigan,F,29,4,6,10,0,0,0,0,43,4,2,-6,100,16,9
1455,Trevor Mitchell,Northern Michigan,D,14,0,1,1,0,0,0,0,7,0,0,-8,49,6,12
1456,Medrick Bolduc,Northern Michigan,F,26,2,3,5,0,1,0,0,24,63,37,-13,87,34,13
1457,Will Diamond,Northern Michigan,D,20,1,0,1,0,0,0,0,13,4,1,-4,66,21,7
1458,Ethan Barwick,Northern Michigan,G,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0
1459,Joe Schiller,Northern Michigan,D,10,0,3,3,0,0,0,0,11,0,0,-6,38,4,1
1460,Matt Argentina,Northern Michigan,F,16,2,2,4,1,0,0,0,23,0,0,-2,52,10,9
1461,Julian Molinaro,Northern Michigan,G,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1462,Matt Koethe,Alaska,F,32,5,8,13,1,1,0,0,82,25,7,-8,89,14,19
1463,Luke LaMaster,Alaska,D,27,0,6,6,0,0,0,0,25,0,0,9,75,10,15
1464,Matt Rickard,Alaska,D,25,4,2,6,0,0,0,1,34,0,0,-6,71,18,17
1465,Matt Hubbarde,Alaska,F,30,13,10,23,1,1,0,1,60,22,9,5,85,25,24
1466,Kyle Gaffney,Alaska,F,32,6,14,20,3,0,0,1,61,500,252,-6,89,6,24
1467,Lassi Lehti,Alaska,G,13,0,0,0,0,0,0,0,0,0,0,0,34,0,0
1468,Chase Dafoe,Alaska,F,32,11,6,17,5,1,1,0,64,482,259,-2,89,39,13
1469,Braden Birnie,Alaska,F,32,4,3,7,1,0,0,0,43,27,9,-8,89,12,20
1470,Cade Ahrenholz,Alaska,F,23,3,1,4,0,2,0,0,19,8,2,-3,56,41,4
1471,Luke  Johnson,Alaska,F,15,2,2,4,0,0,0,0,18,4,1,1,41,4,11
1472,Broten Sabo,Alaska,D,32,8,13,21,2,4,0,0,55,0,0,-4,89,31,32
1473,William Lawson-Body,Alaska,F,31,2,3,5,1,0,0,0,47,360,175,5,88,2,8
1474,Adam Cardona,Alaska,D,31,0,5,5,0,0,0,0,40,0,0,-3,83,32,23
1475,Carson Reed,Alaska,D,30,1,1,2,0,1,0,0,33,0,0,-8,81,10,14
1476,Haden Kruse,Alaska,F,15,3,3,6,0,0,0,0,31,3,2,3,45,2,7
1477,Fyodor Nikolayenya,Alaska,F,27,1,2,3,0,0,0,0,27,5,1,3,76,20,3
1478,Brendan Ross,Alaska,F,31,3,11,14,0,0,0,0,52,51,23,-11,85,10,17
1479,Caelum Dick,Alaska,D,25,1,7,8,0,1,0,0,26,0,0,4,76,10,20
1480,Peyton Platter,Alaska,F,32,2,11,13,0,0,1,1,61,235,91,-6,89,24,15
1481,Nathan Rickey,Alaska,D,24,1,3,4,0,1,0,0,30,0,0,1,70,6,23
1482,Anton Rubtsov,Alaska,F,13,3,1,4,0,0,0,0,27,2,1,0,40,8,12
1483,Brayden Nicholetts,Alaska,F,16,0,0,0,0,0,0,0,11,7,2,-1,46,11,4
1484,Nicholas Grabko,Alaska,G,20,0,0,0,0,0,0,0,0,0,0,0,62,4,0
1485,Will Hilfiker,Alaska,D,11,0,0,0,0,0,0,0,1,0,0,5,28,15,9
1486,Noah Barlage,Alaska,D,14,0,2,2,0,0,0,0,3,0,0,6,33,2,5
1487,Dean Spak,Alaska,F,3,0,0,0,0,0,0,0,1,5,2,-1,7,0,0
1488,Cole Plowman,Alaska,G,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1489,Trenton Penner,Alaska,F,10,0,1,1,0,0,0,0,5,40,19,-2,32,4,3
1490,Matteo Pecchia,Alaska,F,6,0,0,0,0,0,0,0,4,2,1,-1,14,6,2
1491,Ethan Gauer,St. Thomas,D,37,2,9,11,0,0,0,1,27,3,0,-6,101,26,9
1492,Chase Foley,St. Thomas,D,36,3,19,22,1,1,0,0,65,0,0,13,100,16,38
1493,Ray Christy,St. Thomas,F,21,0,0,0,0,0,0,0,4,33,8,-9,63,8,6
1494,Matthew Gleason,St. Thomas,F,34,10,11,21,4,2,1,1,64,378,189,10,93,43,18
1495,Jake Sibell,St. Thomas,G,19,0,0,0,0,0,0,0,0,0,0,0,52,0,0
1496,Liam Malmquist,St. Thomas,F,37,19,25,44,5,3,4,2,132,24,8,18,101,8,41
1497,Grant Docter,St. Thomas,D,24,2,1,3,0,1,0,0,14,1,1,-5,62,4,13
1498,Ryan O'Neill,St. Thomas,F,37,6,14,20,3,0,0,0,58,4,2,-9,101,20,23
1499,Lucas Wahlin,St. Thomas,F,37,17,23,40,3,4,2,1,141,810,385,15,101,50,17
1500,Jake Braccini,St. Thomas,F,36,9,10,19,2,1,0,0,87,319,138,3,95,16,36
1501,Luc Laylin,St. Thomas,F,37,4,6,10,1,2,1,0,45,424,216,-5,101,18,11
1502,Quinton Pepper,St. Thomas,F,32,1,1,2,0,1,0,0,33,153,51,-5,86,4,5
1503,Aaron Trotter,St. Thomas,G,20,0,1,1,0,0,0,0,0,0,0,0,56,0,0
1504,Caige Sterzer,St. Thomas,F,37,6,8,14,0,0,0,0,36,136,66,1,101,33,9
1505,Cooper Gay,St. Thomas,F,34,19,11,30,7,1,1,2,158,48,21,6,93,14,37
1506,Tobias Abrahamsson,St. Thomas,D,18,0,0,0,0,0,0,0,4,0,0,0,53,17,4
1507,Cole Miller,St. Thomas,D,30,1,2,3,0,0,0,1,25,0,0,1,82,10,14
1508,Mason Poolman,St. Thomas,D,37,4,7,11,0,1,0,0,44,1,0,-9,101,13,20
1509,Chase Cheslock,St. Thomas,D,37,1,13,14,0,0,0,0,55,0,0,16,101,22,28
1510,Ethan Elias,St. Thomas,D,27,0,5,5,0,0,0,0,19,1,0,-1,70,2,7
1511,Casy Laylin,St. Thomas,F,37,4,7,11,0,2,0,0,55,5,2,-2,101,8,23
1512,Carson Peters,St. Thomas,D,21,0,2,2,0,0,0,0,11,0,0,5,59,6,10
1513,Jake Ratzlaff,St. Thomas,D,9,0,0,0,0,0,0,0,4,0,0,0,22,11,1
1514,Ryder Donovan,St. Thomas,F,23,0,2,2,0,0,0,0,21,54,18,-1,66,24,13
1515,J.D. Metz,St. Thomas,F,7,0,1,1,0,0,0,0,6,4,1,0,15,2,0
1516,Nick Mikan,St. Thomas,F,5,0,0,0,0,0,0,0,2,0,0,-2,17,2,0
1517,Alexander Tell,St. Thomas,F,10,1,2,3,0,0,0,0,7,77,28,-3,25,4,0
1518,Connor Marritt,Alaska Anchorage,F,28,2,2,4,0,1,0,0,31,21,7,-4,92,4,4
1519,Jarred White,Alaska Anchorage,F,32,3,5,8,0,0,0,0,43,227,94,-4,108,17,16
1520,Porter Schachle ,Alaska Anchorage,F,21,4,1,5,0,0,1,1,37,105,47,-4,72,20,13
1521,Will Schimek,Alaska Anchorage,D,32,1,2,3,0,0,0,0,32,0,0,-9,108,27,17
1522,Davis Goukler,Alaska Anchorage,D,22,1,2,3,0,0,0,0,17,0,0,-4,74,4,10
1523,Conor Cole,Alaska Anchorage,F,28,4,13,17,3,0,0,0,27,342,168,-10,94,12,19
1524,Maximilion Helgeson,Alaska Anchorage,F,34,8,11,19,1,1,0,0,78,227,97,-7,117,16,17
1525,Dylan Finlay,Alaska Anchorage,D,28,4,6,10,2,1,0,0,29,1,1,-11,98,8,28
1526,Gunnar VanDamme,Alaska Anchorage,D,34,2,4,6,0,1,0,0,32,0,0,-12,117,12,20
1527,Ben Anderson,Alaska Anchorage,F,21,1,2,3,0,0,0,1,16,36,13,-7,71,41,3
1528,Aiden Westin,Alaska Anchorage,F,27,2,3,5,2,0,0,0,26,219,114,-7,91,6,6
1529,Greg Orosz,Alaska Anchorage,G,20,0,0,0,0,0,0,0,0,0,0,0,74,0,0
1530,Karter McNarland,Alaska Anchorage,F,22,2,4,6,0,0,0,0,21,5,2,-1,75,4,5
1531,Ethan Warrener,Alaska Anchorage,D,17,1,1,2,0,0,0,0,15,0,0,-5,62,6,7
1532,Pavol Funtek,Alaska Anchorage,D,17,1,1,2,0,0,0,0,5,0,0,-2,66,6,3
1533,Dylan Contreras,Alaska Anchorage,F,29,8,4,12,0,1,0,3,35,245,129,-6,103,6,8
1534,Nolan Gagnon,Alaska Anchorage,D,20,0,2,2,0,0,0,0,20,1,0,-1,73,4,17
1535,Adam Parsons,Alaska Anchorage,F,21,1,2,3,0,0,0,0,30,78,35,-5,78,2,8
1536,Dimitry Kebreau,Alaska Anchorage,F,31,8,15,23,2,1,0,0,62,45,20,-5,101,15,13
1537,Tyler Krivtsov,Alaska Anchorage,G,18,0,0,0,0,0,0,0,0,0,0,0,68,0,0
1538,Bryant Marks,Alaska Anchorage,G,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1539,Ryan Johnson,Alaska Anchorage,F,33,11,14,25,7,0,0,1,107,35,14,-13,116,6,44
1540,Tanner Edwards,Alaska Anchorage,F,31,3,5,8,0,0,0,0,19,204,93,-6,108,58,8
1541,Brandon Lajoie,Alaska Anchorage,F,11,1,1,2,0,0,0,0,11,1,0,-1,38,0,4
1542,Logan Acheson,Alaska Anchorage,D,25,1,4,5,0,0,0,0,26,0,0,-2,77,4,22
1543,Joey Potter,Alaska Anchorage,D,18,2,3,5,0,0,0,0,37,0,0,-7,63,12,16
1544,JP Steele,Alaska Anchorage,D,17,0,2,2,0,0,0,0,11,1,1,0,54,12,5
1545,Matt Johnson,Alaska Anchorage,F,25,4,5,9,0,0,0,0,31,115,44,0,87,10,15
1546,Alex Gomez,Alaska Anchorage,F,16,0,5,5,0,0,0,0,11,122,44,5,50,2,5
1547,Kristof Papp,Lindenwood,F,29,4,7,11,2,2,0,0,56,454,246,-1,79,2,23
1548,Artyom Borshyov,Lindenwood,D,32,2,2,4,0,0,0,0,40,0,0,6,86,14,21
1549,Alexander Lundman,Lindenwood,F,17,2,1,3,0,1,0,0,19,3,0,-6,49,6,6
1550,Aiden Yakimchuk,Lindenwood,D,32,0,1,1,0,0,0,0,28,0,0,-5,86,4,29
1551,Drew Kuzma,Lindenwood,F,32,2,4,6,0,0,0,0,32,358,199,-12,86,19,6
1552,Mitch Allard,Lindenwood,F,32,1,4,5,0,0,0,1,34,236,117,1,86,33,12
1553,David Gagnon,Lindenwood,F,32,11,17,28,3,1,2,1,85,282,120,1,86,23,29
1554,Jack Anderson,Lindenwood,D,32,1,9,10,1,0,0,0,55,1,0,-5,86,14,33
1555,Joe Prouty,Lindenwood,D,32,1,3,4,0,0,0,0,50,0,0,-8,86,24,28
1556,Owen Bartoszkiewicz,Lindenwood,G,29,0,0,0,0,0,0,0,0,0,0,0,78,4,0
1557,John Evans,Lindenwood,F,28,4,8,12,0,1,0,0,40,10,1,0,76,6,17
1558,Jaeden Mercier,Lindenwood,F,29,8,3,11,3,0,0,0,50,9,4,-2,77,4,17
1559,Ethan Zielke,Lindenwood,F,30,4,3,7,0,0,0,0,41,467,226,-2,81,12,13
1560,Jake Southgate,Lindenwood,F,29,5,7,12,0,0,0,0,56,11,3,-1,78,10,18
1561,Noah Houle,Lindenwood,D,32,4,12,16,0,0,0,0,57,2,1,7,86,26,54
1562,Brady Yakesh,Lindenwood,D,26,0,5,5,0,0,0,0,14,0,0,-4,71,16,30
1563,Ty Hipkin,Lindenwood,F,28,4,3,7,1,1,0,0,49,41,18,-5,73,14,11
1564,Jacob Vockler,Lindenwood,F,19,0,1,1,0,0,0,0,21,5,2,-5,50,4,7
1565,Tyler Loughman,Lindenwood,F,27,4,6,10,0,1,0,0,26,5,2,6,72,4,5
1566,Brody Mortensen,Lindenwood,D,24,3,2,5,0,0,0,0,24,2,1,-5,65,10,12
1567,Coltan Wilkie,Lindenwood,D,6,0,1,1,0,0,0,0,5,1,0,-1,12,0,1
1568,Patrick Schmiedlin,Lindenwood,F,14,5,4,9,1,1,0,0,22,9,5,6,36,4,6
1569,Ryan Forberg,Lindenwood,F,9,0,2,2,0,0,0,0,7,6,5,-2,21,2,1
1570,Shawn Ramsey,Lindenwood,D,18,0,0,0,0,0,0,0,13,0,0,-10,53,10,13
1571,Henry Graham,Lindenwood,G,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1572,Thomas Jarman,Lindenwood,D,7,0,2,2,0,0,0,0,2,0,0,0,18,2,3
1573,Henri Schreifels,Stonehill,F,32,5,11,16,2,1,1,0,65,336,151,-5,105,25,31
1574,Devlin O'Brien,Stonehill,F,32,2,3,5,0,1,0,0,44,73,39,-5,103,37,22
1575,Jake Cady,Stonehill,F,19,0,3,3,0,0,0,0,21,1,0,-7,70,23,6
1576,Kyle Heath,Stonehill,F,21,2,4,6,0,0,0,0,12,70,25,-2,62,2,4
1577,Teddy Lagerback,Stonehill,F,18,5,4,9,0,1,0,0,52,13,7,3,53,4,7
1578,Evan Orr,Stonehill,D,33,8,6,14,4,5,0,0,73,1,1,-13,106,18,44
1579,Dean Schwenninger,Stonehill,F,16,0,2,2,0,0,0,0,16,226,124,-5,57,10,2
1580,Frank Ireland,Stonehill,F,33,6,4,10,1,0,0,0,61,4,0,-12,106,26,18
1581,Brady Hunter,Stonehill,F,26,3,5,8,2,0,0,0,26,9,5,-10,87,8,15
1582,Cameron GaudetteÂ ,Stonehill,D,32,1,3,4,0,0,0,0,22,0,0,-4,104,21,20
1583,Devon Carlstrom,Stonehill,D,16,0,0,0,0,0,0,0,9,0,0,-7,44,2,13
1584,Conor Ronayne,Stonehill,F,8,1,0,1,0,0,0,0,6,1,0,-1,30,0,3
1585,Anthony Galante,Stonehill,F,30,12,9,21,4,2,0,2,74,34,20,-6,97,37,30
1586,Dominick Campione,Stonehill,D,30,3,10,13,1,0,0,0,34,1,1,-11,90,30,26
1587,Justin Gibson,Stonehill,D,31,1,5,6,0,0,0,0,37,0,0,-9,102,0,20
1588,JJ Grainda,Stonehill,F,28,3,6,9,0,0,0,0,41,8,3,-1,85,15,6
1589,Leo Chambers,Stonehill,F,32,2,4,6,0,0,0,0,37,297,99,-3,101,10,10
1590,Joel Lehtinen,Stonehill,F,26,2,4,6,1,0,0,0,24,275,131,-2,77,12,7
1591,Linards Lipskis,Stonehill,G,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0
1592,Connor Androlewicz,Stonehill,G,28,0,0,0,0,0,0,0,0,0,0,0,94,0,0
1593,Cam Mannion,Stonehill,D,18,0,1,1,0,0,0,0,11,0,0,-3,56,2,5
1594,Charlie Banquier,Stonehill,D,30,1,5,6,0,0,0,1,31,0,0,-5,95,26,27
1595,Hunter Hastings,Stonehill,F,16,1,1,2,0,0,0,0,14,48,19,-4,45,4,4
1596,Cole Melady,Stonehill,F,28,1,3,4,0,0,0,0,24,21,13,-6,92,14,9
1597,Zach Aben,Stonehill,F,29,4,4,8,0,0,1,1,53,431,193,-17,97,10,10
1598,Zach Nicolas,Stonehill,F,19,2,5,7,0,1,0,0,14,163,64,-9,67,2,3
1599,Ryan Davies,Stonehill,D,6,0,0,0,0,0,0,0,1,0,0,-3,19,2,4
1600,Justin Barker,Stonehill,F,2,0,0,0,0,0,0,0,1,3,1,-2,7,2,0
1601,Riley Rosenthal,Stonehill,D,3,0,0,0,0,0,0,0,1,0,0,-2,11,0,4
1602,Gavin Gulash,Robert Morris,F,33,5,2,7,0,0,1,2,51,16,4,1,100,33,17
1603,Mitch Deelstra,Robert Morris,F,35,12,5,17,9,2,0,0,73,145,49,-15,114,34,22
1604,Cody Monds,Robert Morris,F,33,3,5,8,0,0,0,0,33,6,2,-7,107,2,10
1605,Trevor Ledonne,Robert Morris,D,23,3,2,5,0,0,0,0,21,0,0,-4,81,22,15
1606,Michael Craig,Robert Morris,D,34,5,19,24,1,0,0,1,52,0,0,-3,110,6,30
1607,Gabriel Lunn,Robert Morris,D,29,0,7,7,0,0,0,0,45,0,0,-5,87,10,24
1608,George Krotiris,Robert Morris,F,32,4,6,10,2,0,0,0,55,114,53,-6,108,20,18
1609,Tanner Klimpke,Robert Morris,F,26,10,13,23,2,1,1,0,58,18,10,12,83,6,11
1610,McKay Hayes,Robert Morris,F,33,4,6,10,0,1,0,1,60,25,10,-5,103,11,21
1611,Cameron Garvey,Robert Morris,F,34,7,15,22,3,0,0,0,89,670,327,12,108,6,24
1612,Walter Zacher,Robert Morris,F,35,15,9,24,3,2,0,3,109,21,8,3,114,21,46
1613,Luke van Why,Robert Morris,D,31,2,12,14,1,0,0,0,48,0,0,-3,100,12,30
1614,Croix Kochendorfer,Robert Morris,G,23,0,1,1,0,0,0,0,0,0,0,0,74,2,0
1615,Dominic Elliott,Robert Morris,D,35,6,13,19,2,1,0,0,55,0,0,-6,114,18,40
1616,J.R. Ashmead,Robert Morris,D,33,0,2,2,0,0,0,0,31,0,0,-6,111,14,26
1617,Connor Gourley,Robert Morris,F,23,1,0,1,0,0,0,0,13,4,1,-7,75,20,6
1618,Patrick Johnson,Robert Morris,F,34,3,5,8,0,0,0,1,39,417,208,-5,110,24,11
1619,Braden Rourke,Robert Morris,F,30,2,2,4,0,0,0,0,55,8,1,-6,100,36,23
1620,Trent Wilson,Robert Morris,F,35,5,13,18,0,2,0,1,56,593,315,-4,114,18,20
1621,Michael Felsing,Robert Morris,F,34,7,15,22,2,0,0,0,33,89,32,-12,110,2,20
1622,Tom Gangl,Robert Morris,D,4,0,1,1,0,0,0,0,2,0,0,1,10,0,2
1623,Dawson Smith,Robert Morris,G,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0
1624,Thomas Haynes,Robert Morris,D,13,0,3,3,0,0,0,0,7,0,0,-1,44,0,5
1625,Dylan Meilun,Robert Morris,G,12,0,0,0,0,0,0,0,0,0,0,0,43,0,0
1626,Adam O'Marra,Robert Morris,F,13,0,1,1,0,0,0,0,20,113,54,-3,45,0,8
1627,Eric DeDobbelaer,Robert Morris,F,5,0,0,0,0,0,0,0,0,1,0,-2,23,0,0
1628,Greg Japchen,Robert Morris,D,25,1,6,7,0,1,0,0,41,0,0,-5,86,10,38
1629,Lee Chaing,Robert Morris,F,3,0,0,0,0,0,0,0,2,0,0,0,9,0,0
1630,Josh Nixon,Union,F,36,14,9,23,5,2,0,0,79,2,1,8,109,20,18
1631,Cullen Ferguson,Union,D,36,4,12,16,0,0,0,0,76,0,0,-6,109,39,47
1632,Caden Villegas,Union,F,36,7,22,29,3,1,0,0,66,12,7,6,109,16,30
1633,Josh Phillips,Union,D,18,0,1,1,0,0,0,0,9,0,0,-2,57,2,6
1634,Ethan Benz,Union,F,13,1,1,2,0,1,0,0,17,0,0,-2,37,0,5
1635,Nate Hanley,Union,F,35,10,18,28,0,1,0,1,79,434,205,-3,105,4,30
1636,John Prokop,Union,D,36,8,19,27,3,2,0,0,87,0,0,12,109,20,54
1637,Nick Young,Union,D,36,2,8,10,0,0,0,0,53,0,0,12,109,18,32
1638,Brandon Buhr,Union,F,36,19,9,28,4,5,0,4,94,12,3,1,109,25,23
1639,Parker Lindauer,Union,F,34,3,11,14,0,1,1,0,54,315,167,-3,105,10,12
1640,Kyle Chauvette,Union,G,35,0,0,0,0,0,0,0,0,0,0,0,104,0,0
1641,Colby MacArthur,Union,F,36,7,22,29,5,0,0,0,50,399,198,11,109,18,11
1642,DJ Hart,Union,D,32,3,5,8,0,0,0,0,45,0,0,1,93,33,36
1643,Joseph Messina,Union,D,25,1,3,4,0,0,0,0,16,0,0,1,76,4,12
1644,David CÃ´tÃ©,Union,D,10,0,0,0,0,0,0,0,3,0,0,-1,28,2,3
1645,Lucas Buzziol,Union,F,29,5,8,13,0,1,0,0,41,357,169,-3,91,14,12
1646,Ben Muthersbaugh,Union,F,36,13,15,28,5,2,0,0,118,5,3,-3,109,31,45
1647,Drew Sutton,Union,F,35,3,3,6,2,1,0,0,24,298,171,-10,104,2,9
1648,Riley Brueck,Union,F,33,3,7,10,0,0,0,0,31,2,1,-1,102,6,8
1649,Connor Smith,Union,F,22,1,0,1,0,0,0,0,13,0,0,-5,67,6,7
1650,Cal Mell,Union,D,24,0,1,1,0,0,0,0,5,0,0,-2,74,6,7
1651,Brendan Miles,Union,D,29,0,7,7,0,0,0,0,26,0,0,0,90,10,13
1652,Jacob Jeannette,Union,F,29,2,3,5,0,1,0,1,31,255,128,-3,90,12,9
1653,Carter Korpi,Union,F,18,6,2,8,0,1,2,2,29,2,0,7,52,8,10
1654,Joe Sharib,Union,G,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1655,Lucas Massie,Union,G,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0
1656,Thomas Richter,Union,F,7,0,1,1,0,0,0,0,1,0,0,0,21,0,0
1657,Lukas Sillinger,Arizona State,F,34,8,29,37,1,0,0,0,55,6,1,8,96,12,18
1658,Artem Shlaine,Arizona State,F,30,16,21,37,3,2,2,1,79,652,356,10,85,16,14
1659,Noah Beck,Arizona State,D,36,5,27,32,4,0,0,0,66,0,0,12,103,28,47
1660,Ty Jackson,Arizona State,F,34,8,16,24,3,2,0,0,54,380,167,2,98,18,13
1661,Luke Pavicich,Arizona State,G,22,0,0,0,0,0,0,0,0,0,0,0,67,0,0
1662,Ty Murchison,Arizona State,D,36,0,4,4,0,0,0,0,40,1,0,6,103,48,30
1663,Ethan Szmagaj,Arizona State,D,27,1,4,5,0,1,1,0,18,0,0,0,84,0,4
1664,Ryan Kirwan,Arizona State,F,36,25,13,38,7,5,0,2,178,3,1,6,103,6,37
1665,Tucker Ness,Arizona State,D,19,0,2,2,0,0,0,0,11,0,0,1,57,6,6
1666,Ryan Alexander,Arizona State,F,30,3,5,8,0,0,0,0,43,50,29,11,89,6,14
1667,Cruz Lucius,Arizona State,F,18,2,8,10,1,0,0,0,38,0,0,-7,59,14,13
1668,Bennett Schimek,Arizona State,F,34,15,22,37,3,2,3,1,94,14,4,5,96,4,23
1669,Kyle Smolen,Arizona State,F,35,12,18,30,5,1,1,1,67,265,113,12,94,22,14
